"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Crowley County School District RE-1J Director (Vote For 4)","Jennifer Morgan","",356,22.68,1935,794,1,1,"0","0"
2,"Crowley County School District RE-1J Director (Vote For 4)","Leif R. Berg","",487,31.02,1935,794,1,1,"0","0"
3,"Crowley County School District RE-1J Director (Vote For 4)","Lisa Torgler","",420,26.75,1935,794,1,1,"0","0"
4,"Crowley County School District RE-1J Director (Vote For 4)","Carl Acord","",307,19.55,1935,794,1,1,"0","0"
5,"Manzanola School District 3J Director At Large (Vote For 3)","Felipe Padilla","",20,30.77,56,31,1,1,"0","0"
6,"Manzanola School District 3J Director At Large (Vote For 3)","Erica Carroll","",5,7.69,56,31,1,1,"0","0"
7,"Manzanola School District 3J Director At Large (Vote For 3)","Lorraine ''Rainy'' Melgosa","",16,24.62,56,31,1,1,"0","0"
8,"Manzanola School District 3J Director At Large (Vote For 3)","Bradley D. Roe","",6,9.23,56,31,1,1,"0","0"
9,"Manzanola School District 3J Director At Large (Vote For 3)","Larry D. Padilla","",18,27.69,56,31,1,1,"0","0"
10,"Crowley County School District RE-1J Ballot Issue 3A (Vote For 1)","Yes","",368,46.70,1935,794,1,1,"0","0"
11,"Crowley County School District RE-1J Ballot Issue 3A (Vote For 1)","No","",420,53.30,1935,794,1,1,"0","0"
12,"Crowley County School District RE-1J Ballot Issue 3B (Vote For 1)","Yes","",401,50.95,1935,794,1,1,"0","0"
13,"Crowley County School District RE-1J Ballot Issue 3B (Vote For 1)","No","",386,49.05,1935,794,1,1,"0","0"
14,"Manzanola School District 3J Ballot Issue 3C (Vote For 1)","Yes","",7,22.58,56,31,1,1,"0","0"
15,"Manzanola School District 3J Ballot Issue 3C (Vote For 1)","No","",24,77.42,56,31,1,1,"0","0"
